cliente_id,nome,email,regiao,idVip,ano_cadastro
0,  Bruno Ferreira  ,Bruno0@cliente.com,Centro-Oeste,False,2010
1,Lucas Mendes,Lucas1@cliente.com,Sudeste,False,2000
2,Larissa Silva,Larissa2@cliente.com,Sul,False,2011
3,Juliana Lima,Juliana3@cliente.com,Centro-Oeste,False,2020
4,Natalia Nunes,Natalia4@cliente.com,Nordeste,True,2025
5,  Beatriz Martins  ,Beatriz5@cliente.com,Sudeste,False,2019
6,Ana Gomes,Ana6@cliente.com,Centro-Oeste,False,2024
7,Beatriz Ribeiro,Beatriz7@cliente.com,Sul,False,2010
8,Diego Alves,Diego8@cliente.com,Nordeste,False,2025
9,Beatriz Souza,Beatriz9@cliente.com,Nordeste,False,2021
10,Thiago Mendes,Thiago10@cliente.com,Centro-Oeste,True,2003
11,Camila Santos,Camila11@cliente.com,Sudeste,False,2004
12,Bruno Mendes,Bruno12@cliente.com,Centro-Oeste,False,2000
13,Thiago Oliveira,Thiago13@cliente.com,Centro-Oeste,False,2016
14,Pedro Carvalho,Pedro14@cliente.com,Centro-Oeste,False,2025
15,Aline Rocha,Aline15@cliente.com,Sudeste,False,2006
16,Natalia Lima,Natalia16@cliente.com,Centro-Oeste,False,2015
17,Rodrigo Oliveira,Rodrigo17@cliente.com,Norte,False,2008
18,Pedro Ribeiro,Pedro18@cliente.com,Sul,False,2011
19,Diego Alves,Diego19@cliente.com,Sul,False,2020
20,Rodrigo Alves,Rodrigo20@cliente.com,Sul,False,2002
21,Beatriz Lima,Beatriz21@cliente.com,Nordeste,False,2008
22,Carlos Silva,Carlos22@cliente.com,Norte,False,2018
23,  Beatriz Araújo  ,Beatriz23@cliente.com,Norte,False,2012
24,Camila Martins,Camila24@cliente.com,Sul,True,2003
25,Rafael Mendes,Rafael25@cliente.com,Sudeste,False,2000
26,Maria Gomes,Maria26@cliente.com,Sul,False,2013
27,Rodrigo Silva,Rodrigo27@cliente.com,Nordeste,True,2002
28,Larissa Souza,Larissa28@cliente.com,Centro-Oeste,False,2017
29,Bruno Oliveira,Bruno29@cliente.com,Nordeste,False,2024
30,Lucas Carvalho,Lucas30@cliente.com,Nordeste,False,2007
31,Natalia Martins,Natalia31@cliente.com,Nordeste,False,2019
32,Carlos Rocha,Carlos32@cliente.com,Norte,False,2026
33,Gabriela Mendes,Gabriela33@cliente.com,Sul,True,2008
34,Beatriz Gomes,Beatriz34@cliente.com,Norte,False,2017
35,Gabriela Oliveira,Gabriela35@cliente.com,Sudeste,False,2006
36,Aline Ribeiro,Aline36@cliente.com,Nordeste,True,2022
37,  Rafael Araújo  ,Rafael37@cliente.com,Centro-Oeste,True,2026
38,Natalia Gomes,Natalia38@cliente.com,Sul,False,2025
39,Lucas Santos,Lucas39@cliente.com,Nordeste,False,2005
40,Fernanda Lima,Fernanda40@cliente.com,Norte,False,2009
41,Diego Ferreira,Diego41@cliente.com,,False,2022
42,Ana Ribeiro,Ana42@cliente.com,Norte,False,2012
43,Rodrigo Souza,Rodrigo43@cliente.com,Centro-Oeste,False,2019
44,Thiago Ribeiro,Thiago44@cliente.com,Centro-Oeste,False,2006
45,Camila Rocha,Camila45@cliente.com,Sul,False,2013
46,Thiago Alves,Thiago46@cliente.com,Nordeste,False,2008
47,Camila Santos,Camila47@cliente.com,Sudeste,False,2017
48,Maria Alves,Maria48@cliente.com,Norte,False,2026
49,Lucas Alves,Lucas49@cliente.com,Centro-Oeste,False,2005
